Datetime,cape,cin,lift,k,total_totals,showalter
2016-07-05 09:00:00,6.727156897313618,-211.3759796218363,-269.73772631469245,17.9,30.8,10.88044785854422
2016-07-06 09:00:00,-357.1878641693682,-190.513720812062,-269.717145765087,-9.5,32.2,9.652559339604512
2016-07-07 09:00:00,0.0,0.0,-263.725282259777,27.0,35.3,6.866547112977548
2016-07-08 09:00:00,0.1531186249055523,-21.519597423025974,-261.88563258505945,-43.900000000000006,12.799999999999995,19.87416505186569
2016-07-09 09:00:00,0.0,0.0,-261.985366026942,-29.700000000000003,26.8,13.575782064092408
2016-07-10 09:00:00,0.0,0.0,-268.3735530951541,-18.3,40.2,5.665339395084743
2016-07-11 09:00:00,0.0,0.0,-271.18900603072257,-0.2999999999999971,44.4,2.818139305450803
2016-07-12 09:00:00,-10.93830574004815,-759.9449919899482,-272.27003621706814,-0.5,44.6,2.3705105788563063
2016-07-14 09:00:00,57.42123377103514,-587.2804473996825,-272.7151008424541,-20.700000000000003,37.8,7.162655379420187
2016-07-15 09:00:00,0.0,0.0,-270.1627280502951,-7.100000000000001,37.8,6.760291340261039
2016-07-16 09:00:00,0.0,0.0,-270.79971220933265,-4.899999999999999,41.0,5.001196198792718
2016-07-17 09:00:00,0.7282383550523039,0.0,-264.3087057625545,-24.5,34.400000000000006,9.035444012184774
2016-07-18 09:00:00,8.583597540939174,0.0,-260.4898802471049,-9.3,25.8,15.167495624023497
2016-07-19 09:00:00,0.0,0.0,-262.5033761267069,-11.9,35.8,8.409020783377503
2016-07-20 09:00:00,0.0,0.0,-267.78326137353633,29.3,44.1,2.935635046375932
2016-07-21 09:00:00,5.608977948259804,-95.03373004810376,-269.4559638795636,31.2,46.1,2.2612719551381364
2016-07-22 09:00:00,60.92116638250225,-2.52511686744604,-268.9420585403736,2.3999999999999986,39.900000000000006,6.253791335572316
2016-07-23 09:00:00,2.547799675112313,-12.943482316767636,-270.960417777842,-8.200000000000003,43.9,2.9504830523001377
2016-07-24 09:00:00,0.0,0.0,-271.0913692757095,-4.700000000000003,41.8,4.603842148791898
2016-07-25 09:00:00,0.0,0.0,-268.1486501522359,-8.3,37.4,7.085711372499407
2016-07-26 09:00:00,0.0,0.0,-267.241634828223,-3.1000000000000014,33.0,9.551004569497444
2016-07-27 09:00:00,3.569462889037456,-477.2957920409687,-269.72634426485894,14.9,33.8,9.010490050972043
2016-07-28 09:00:00,11.967716092000842,0.0,-264.0880209991418,18.4,31.1,10.653791335572317
2016-07-29 09:00:00,-52.109570999564745,0.0,-266.09196271744315,20.7,34.8,7.844173755495797
2016-07-30 09:00:00,35.5462558000879,-5.181375260811136,-267.47619254696855,-0.7000000000000028,32.8,9.479966052438217
2016-07-31 09:00:00,1.2987417206542662,-28.528409012062006,-267.796290603939,-6.5,35.0,8.414364327594228
2016-08-01 09:00:00,0.0,0.0,-268.1790560160451,-8.899999999999999,35.0,8.582869967242578
2016-08-02 09:00:00,7.736194440935148,-353.47416072024856,-269.0698584592516,-12.3,40.8,5.217980998217536
