,Chuva,Dia,DirVento,HBV,Hora,Pressao,Temperatura,Umidade,VelVento,estacao,Geopotential_1000,Humidity_1000,Temperature_1000,WindU_1000,WindV_1000,Geopotential_700,Humidity_700,Temperature_700,WindU_700,WindV_700,Geopotential_200,Humidity_200,Temperature_200,WindU_200,WindV_200,CAPE,CIN,showalter,lift_index,k_index,total_totals,Wx,Wy,Day sin,Day cos,Year sin,Year cos
6070,0.0,2021-12-12,0.0,HBV,12:00:00,0.0,0.0,0.0,0.0,iraja,778.38574,62.90254,301.76343,0.08688307,-2.5424907,30831.293,81.43498,281.85156,5.4553466,-2.8110082,121357.62,104.059746,219.0773,29.488432,14.649731,412.5227275065865,-183.07535976814341,0.0,-274.8956843089024,37.550000000000004,47.0,0.0,0.0,1.243826830633396e-11,-1.0,-0.3228555566048438,0.9464482498105095
6071,0.0,2021-12-12,0.0,HBV,13:00:00,0.0,0.0,0.0,0.0,iraja,730.69824,57.947144,303.06107,0.7411728,-3.3691444,30822.621,83.55896,281.87628,5.6559076,-3.566444,121361.44,72.55339,219.43854,29.29911,14.752993,408.1066426367029,-188.9556453006045,0.0,-274.9036407056121,37.37083333333334,46.86666666666667,0.0,0.0,-0.25881904509946435,-0.9659258262898872,-0.32217707629764725,0.9466794238327461
6072,0.0,2021-12-12,0.0,HBV,14:00:00,0.0,0.0,0.0,0.0,iraja,704.6875,54.175278,304.0559,1.178462,-3.2362046,30827.92,85.87405,281.99307,5.545435,-3.9710665,121435.67,50.554546,219.85262,29.645948,15.267914,403.6905577668192,-194.83593083306556,0.0,-274.9115971023217,37.19166666666667,46.733333333333334,0.0,0.0,-0.49999999999268896,-0.8660254037886597,-0.32149843046329324,0.94691011147291
6073,0.0,2021-12-12,0.0,HBV,15:00:00,0.0,0.0,0.0,0.0,iraja,617.0205,51.736137,304.8221,0.9450221,-3.0964067,30784.568,87.41632,282.09503,6.41541,-3.9652634,121461.85,49.763798,219.84436,29.138563,16.49172,399.27447289693555,-200.71621636552666,0.0,-274.9195534990314,37.0125,46.6,0.0,0.0,-0.7071067811768461,-0.707106781196249,-0.3208196194504543,0.9471403126124797
6074,5.2,2021-12-12,0.0,HBV,16:00:00,0.0,0.0,0.0,0.0,iraja,564.03516,49.473015,305.67795,0.81153345,-2.7339873,30767.709,87.012314,282.2699,7.1617603,-3.059479,121474.42,55.261967,219.72568,29.396042,17.204794,394.85838802705194,-206.59650189798776,0.0,-274.927509895741,36.833333333333336,46.46666666666667,0.0,0.0,-0.8660254037822157,-0.5000000000038503,-0.3201406436078879,0.9473700271331826
6075,0.0,2021-12-12,0.0,HBV,17:00:00,0.0,0.0,0.0,0.0,iraja,532.24316,53.025276,304.95746,0.8588791,-2.33042,30725.32,85.69467,282.35516,6.872426,-2.2644777,121471.82,52.92061,219.79811,29.789833,17.768555,390.44230315716834,-212.47678743044884,0.0,-274.9354662924507,36.65416666666667,46.333333333333336,0.0,0.0,-0.9659258262865515,-0.25881904511191317,-0.31946150328443623,0.9475992549169971
6076,0.0,2021-12-12,0.0,HBV,18:00:00,0.0,0.0,0.0,0.0,iraja,533.20703,54.865948,304.90555,-0.27872992,-0.66286933,30711.352,93.24847,282.08575,6.3055944,-1.5158999,121487.04,48.089638,220.17516,30.881847,17.62901,386.0262182872847,-218.3570729629099,0.0,-274.94342268916034,36.47500000000001,46.2,0.0,0.0,-1.0,-4.4969722956162664e-13,-0.31878219882902586,0.9478279958461511
6077,0.0,2021-12-12,0.0,HBV,19:00:00,0.0,0.0,0.0,0.0,iraja,563.5537,72.127686,302.12552,-0.6285615,0.2898661,30682.45,94.84941,281.79474,6.4048886,-1.5053492,121600.25,79.71542,220.50714,29.237011,13.470577,381.610133417401,-224.23735849537098,0.0,-274.95137908587003,36.29583333333334,46.06666666666667,0.0,0.0,-0.9659258262905507,0.2588190450969884,-0.31810273059066785,0.9480562498031228
6078,0.0,2021-12-12,0.0,HBV,20:00:00,0.0,0.0,0.0,0.0,iraja,653.6289,81.8591,300.44354,0.474854,-0.8907662,30702.2,85.25714,281.28928,6.9250326,-1.85669,121770.805,101.57425,221.0156,23.575499,9.831251,377.1940485475174,-230.11764402783209,0.0,-274.9593354825797,36.116666666666674,45.93333333333334,0.0,0.0,-0.8660254037899413,0.499999999990469,-0.31742309891845727,0.9482840166706403
6079,0.0,2021-12-12,0.0,HBV,21:00:00,0.0,0.0,0.0,0.0,iraja,758.6367,89.774994,298.8728,0.9548855,-1.4177777,30743.625,74.4763,281.5148,6.243782,-2.2739735,121830.42,57.46741,220.90282,24.935595,12.319334,372.7779636776338,-235.9979295602932,0.0,-274.96729187928935,35.93750000000001,45.800000000000004,0.0,0.0,-0.7071067811877718,0.7071067811853233,-0.3167433041615732,0.9485112963316826
