,Chuva,Dia,DirVento,HBV,Hora,Pressao,Temperatura,Umidade,VelVento,estacao,CAPE,CIN,showalter,lift_index,k_index,total_totals,Wx,Wy,Day sin,Day cos,Year sin,Year cos
4723,0.0,2019-12-18,0.0,HBV,09:00:00,0.0,29.7,69.0,0.0,iraja,1278.0881407751813,-76.40997343053364,0.0,-276.13159285589353,33.349999999999994,43.15,0.0,0.0,0.7071067811857947,-0.7071067811873003,-0.23433861627721211,0.9721550354348227
4724,0.0,2019-12-18,0.0,HBV,10:00:00,0.0,30.8,69.0,0.0,iraja,1293.375733375648,-74.87074868566627,0.0,-276.24400581877916,33.33333333333333,43.43333333333334,0.0,0.0,0.5000000000036487,-0.8660254037823321,-0.23364173253958256,0.9723227554757228
4725,0.0,2019-12-18,0.0,HBV,11:00:00,0.0,29.2,74.0,0.0,iraja,1308.6633259761147,-73.33152394079889,0.0,-276.35641878166484,33.31666666666666,43.71666666666667,0.0,0.0,0.2588190451116884,-0.9659258262866118,-0.23294472876227015,0.9724899759595841
4726,0.0,2019-12-18,0.0,HBV,12:00:00,0.0,29.1,75.0,0.0,iraja,1323.9509185765812,-71.79229919593152,0.0,-276.46883174455047,33.3,44.0,0.0,0.0,2.1699514932389527e-13,-1.0,-0.23224760530332414,0.9726566968005059
4727,0.0,2019-12-18,0.0,HBV,13:00:00,0.0,30.7,69.0,0.0,iraja,1276.217974011161,-66.92307422846194,0.0,-276.4048178921392,33.5,44.025,0.0,0.0,-0.25881904509721315,-0.9659258262904905,-0.2315503625209105,0.9728229179128312
4728,0.0,2019-12-18,0.0,HBV,14:00:00,0.0,27.5,81.0,0.0,iraja,1228.485029445741,-62.05384926099236,0.0,-276.34080403972786,33.699999999999996,44.05,0.0,0.0,-0.4999999999906706,-0.866025403789825,-0.23085300077325646,0.972988639211159
4729,0.0,2019-12-18,0.0,HBV,15:00:00,0.0,27.8,76.0,0.0,iraja,1180.7520848803208,-57.18462429352277,0.0,-276.2767901873166,33.9,44.075,0.0,0.0,-0.7071067811854879,-0.7071067811876073,-0.23015552041865045,0.9731538606103457
4730,0.0,2019-12-18,0.0,HBV,16:00:00,0.0,27.0,80.0,0.0,iraja,1133.0191403149006,-52.315399326053196,0.0,-276.2127763349053,34.1,44.1,0.0,0.0,-0.8660254037810504,-0.5000000000058686,-0.2294579218154418,0.9733185820255045
4731,0.0,2019-12-18,0.0,HBV,17:00:00,0.0,25.8,88.0,0.0,iraja,1085.2861957494804,-47.44617435858361,0.0,-276.14876248249396,34.3,44.125,0.0,0.0,-0.9659258262859484,-0.2588190451141644,-0.22876020532204058,0.973482803372005
4732,0.0,2019-12-18,0.0,HBV,18:00:00,0.0,25.2,88.0,0.0,iraja,1037.5532511840604,-42.57694939111403,0.0,-276.0847486300827,34.5,44.15,0.0,0.0,-1.0,-2.780339300918414e-12,-0.22806237129691748,0.9736465245654744
4733,0.0,2019-12-18,0.0,HBV,19:00:00,0.0,24.8,92.0,0.0,iraja,989.8203066186402,-37.70772442364445,0.0,-276.0207347776714,34.7,44.175,0.0,0.0,-0.9659258262911539,0.25881904509473713,-0.2273644200986035,0.9738097455217963
4734,0.0,2019-12-18,0.0,HBV,20:00:00,0.0,24.8,90.0,0.0,iraja,942.08736205322,-32.838499456174866,0.0,-275.9567209252601,34.9,44.199999999999996,0.0,0.0,-0.8660254037911067,0.4999999999884506,-0.22666635208568991,0.9739724661571116
4735,0.0,2019-12-18,0.0,HBV,21:00:00,0.0,24.8,91.0,0.0,iraja,894.3544174877999,-27.96927448870528,0.0,-275.8927070728488,35.1,44.224999999999994,0.0,0.0,-0.7071067811894198,0.7071067811836753,-0.22596816761682798,0.9741346863878183
4736,0.0,2019-12-18,0.0,HBV,22:00:00,0.0,25.1,87.0,0.0,iraja,846.6214729223798,-23.100049521235704,0.0,-275.8286932204375,35.300000000000004,44.25,0.0,0.0,-0.5000000000080885,0.8660254037797687,-0.22526986705072877,0.9742964061305712
4737,0.0,2019-12-18,0.0,HBV,23:00:00,0.0,25.4,85.0,0.0,iraja,798.8885283569596,-18.23082455376612,0.0,-275.7646793680262,35.5,44.275,0.0,0.0,-0.25881904510258436,0.9659258262890512,-0.22457145074616303,0.9744576253022825
4738,0.0,2019-12-19,0.0,HBV,00:00:00,0.0,24.9,89.0,0.0,iraja,751.1555837915395,-13.361599586296531,0.0,-275.7006655156149,35.7,44.3,0.0,0.0,-5.343683452512933e-12,1.0,-0.22387291906190554,0.9746183438201342
4739,0.0,2019-12-19,0.0,HBV,01:00:00,0.0,25.0,88.0,0.0,iraja,839.0490174562605,-12.248132954105154,0.0,-275.77350247886744,35.56666666666667,44.21666666666666,0.0,0.0,0.2588190450922611,0.9659258262918173,-0.2231742723569566,0.9747785616015275
4740,0.0,2019-12-19,0.0,HBV,02:00:00,0.0,24.9,87.0,0.0,iraja,926.9424511209813,-11.134666321913777,0.0,-275.84633944212004,35.43333333333334,44.13333333333333,0.0,0.0,0.49999999999883304,0.8660254037851124,-0.22247551099020943,0.9749382785641587
4741,0.0,2019-12-19,0.0,HBV,03:00:00,0.0,24.7,92.0,0.0,iraja,1014.8358847857023,-10.021199689722398,0.0,-275.9191764053726,35.300000000000004,44.05,0.0,0.0,0.7071067811818627,0.7071067811912324,-0.22177663532067146,0.9750974946259692
4742,0.0,2019-12-19,0.0,HBV,04:00:00,0.0,24.4,90.0,0.0,iraja,1102.7293184504233,-8.907733057531022,0.0,-275.9920133686252,35.16666666666667,43.96666666666666,0.0,0.0,0.866025403778487,0.5000000000103085,-0.22107764570740893,0.9752562097051571
4743,0.0,2019-12-19,0.0,HBV,05:00:00,0.0,24.3,90.0,0.0,iraja,1190.622752115144,-7.794266425339644,0.0,-276.0648503318777,35.03333333333334,43.88333333333333,0.0,0.0,0.9659258262883879,0.2588190451050603,-0.22037854250954658,0.9754144237201785
4744,0.0,2019-12-19,0.0,HBV,06:00:00,0.0,24.8,89.0,0.0,iraja,1278.5161857798653,-6.680799793148266,0.0,-276.13768729513026,34.900000000000006,43.8,0.0,0.0,1.0,7.907027604107451e-12,-0.21967932608626753,0.9755721365897466
4745,0.0,2019-12-19,0.0,HBV,07:00:00,0.0,25.5,85.0,0.0,iraja,1366.409619444586,-5.567333160956888,0.0,-276.21052425838286,34.766666666666666,43.71666666666666,0.0,0.0,0.9659258262924808,-0.25881904508978515,-0.2189799967968131,0.9757293482328323
4746,0.0,2019-12-19,0.0,HBV,08:00:00,0.0,26.1,83.0,0.0,iraja,1454.303053109307,-4.453866528765511,0.0,-276.2833612216354,34.63333333333333,43.63333333333333,0.0,0.0,0.866025403786394,-0.4999999999966131,-0.2182805550004825,0.9758860585686637
4747,0.0,2019-12-19,0.0,HBV,09:00:00,0.0,27.3,79.0,0.0,iraja,1542.196486774028,-3.3403998965741337,0.0,-276.356198184888,34.5,43.55,0.0,0.0,0.7071067811930449,-0.7071067811800501,-0.21758100105663283,0.9760422675167267
4748,0.0,2019-12-19,0.0,HBV,10:00:00,0.0,27.1,80.0,0.0,iraja,1630.0899204387488,-2.2269332643827564,0.0,-276.42903514814054,34.36666666666667,43.46666666666666,0.0,0.0,0.49999999999992606,-0.8660254037844813,-0.21688133532467882,0.9761979749967648
4749,0.0,2019-12-19,0.0,HBV,11:00:00,0.0,25.5,85.0,0.0,iraja,1717.98335410347,-1.113466632191379,0.0,-276.50187211139314,34.233333333333334,43.38333333333333,0.0,0.0,0.25881904510753634,-0.9659258262877244,-0.21618155816409257,0.976353180928779
4750,0.0,2019-12-19,0.0,HBV,12:00:00,0.0,27.2,79.0,0.0,iraja,1805.876787768191,0.0,0.0,-276.5747090746457,34.1,43.3,0.0,0.0,1.0470371755701971e-11,-1.0,-0.21548166993440349,0.9765078852330281
4751,0.0,2019-12-19,0.0,HBV,13:00:00,0.0,26.8,80.0,0.0,iraja,1711.0835299216135,-0.556174701638462,0.0,-276.5241030174323,34.50833333333333,43.675,0.0,0.0,-0.2588190451013652,-0.965925826289378,-0.21478167099519796,0.9766620878300286
4752,0.0,2019-12-19,0.0,HBV,14:00:00,0.0,26.8,79.0,0.0,iraja,1616.290272075036,-1.112349403276924,0.0,-276.47349696021894,34.91666666666667,44.05,0.0,0.0,-0.4999999999943932,-0.8660254037876758,-0.21408156170606382,0.976815788640567
4753,0.0,2019-12-19,0.0,HBV,15:00:00,0.0,27.3,76.0,0.0,iraja,1521.4970142284587,-1.6685241049153863,0.0,-276.4228909030056,35.325,44.425,0.0,0.0,-0.7071067811782376,-0.7071067811948575,-0.21338134242681214,0.9769689875856509
4754,0.0,2019-12-19,0.0,HBV,16:00:00,0.0,26.0,80.0,0.0,iraja,1426.7037563818812,-2.224698806553848,0.0,-276.37228484579225,35.733333333333334,44.8,0.0,0.0,-0.8660254037831997,-0.500000000002146,-0.2126810135171439,0.9771216845865823
4755,0.0,2019-12-19,0.0,HBV,17:00:00,0.0,25.4,82.0,0.0,iraja,1331.9104985353038,-2.78087350819231,0.0,-276.3216787885789,36.141666666666666,45.175,0.0,0.0,-0.9659258262870609,-0.25881904511001236,-0.211980575336872,0.9772738795649092
4756,0.0,2019-12-19,0.0,HBV,18:00:00,0.0,25.0,84.0,0.0,iraja,1237.1172406887263,-3.3370482098307725,0.0,-276.2710727313655,36.55,45.55,0.0,0.0,-1.0,-1.303371590729649e-11,-0.21128002824586542,0.9774255724424373
4757,0.0,2019-12-19,0.0,HBV,19:00:00,0.0,24.9,83.0,0.0,iraja,1142.3239828421488,-3.8932229114692345,0.0,-276.22046667415214,36.958333333333336,45.925,0.0,0.0,-0.9659258262900413,0.2588190450988892,-0.2105793726040491,0.9775767631412303
4758,0.0,2019-12-19,0.0,HBV,20:00:00,0.0,24.9,84.0,0.0,iraja,1047.5307249955713,-4.449397613107696,0.0,-276.16986061693876,37.36666666666667,46.3,0.0,0.0,-0.8660254037889574,0.49999999999217326,-0.20987860877140374,0.9777274515836099
4759,0.0,2019-12-19,0.0,HBV,21:00:00,0.0,25.0,84.0,0.0,iraja,952.7374671489939,-5.005572314746159,0.0,-276.1192545597254,37.775,46.675,0.0,0.0,-0.7071067811863803,0.7071067811867148,-0.2091777371079657,0.9778776376921556
4760,0.0,2019-12-19,0.0,HBV,22:00:00,0.0,24.5,86.0,0.0,iraja,857.9442093024165,-5.56174701638462,0.0,-276.0686485025121,38.18333333333334,47.05,0.0,0.0,-0.500000000004366,0.866025403781918,-0.20847675797382667,0.9780273213897056
4761,0.0,2019-12-19,0.0,HBV,23:00:00,0.0,22.9,93.0,0.0,iraja,763.150951455839,-6.117921718023083,0.0,-276.0180424452987,38.59166666666667,47.425,0.0,0.0,-0.2588190451124883,0.9659258262863974,-0.20777567172913355,0.9781765025993557
4762,0.0,2019-12-20,0.0,HBV,00:00:00,0.0,23.8,91.0,0.0,iraja,668.3576936092616,-6.674096419661544,0.0,-275.96743638808533,39.0,47.8,0.0,0.0,-1.0451448305241562e-12,1.0,-0.20707447873408832,0.97832518124446
4763,0.0,2019-12-20,0.0,HBV,01:00:00,0.0,24.0,90.0,0.0,iraja,730.5838262135373,-6.298471284100188,0.0,-276.0575320746766,38.53333333333333,47.53333333333333,0.0,0.0,0.2588190450964132,0.9659258262907048,-0.2063731793489478,0.9784733572486309
